yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 960ms (compile: 679ms, proxy.ts: 204ms, render: 77ms)
 GET /projects/j9702mf7yfcyb0p7758tv1ne3981g05s 200 in 2.4s (compile: 877ms, proxy.ts: 643ms, render: 896ms)
 PUT /api/inngest 200 in 103ms (compile: 30ms, proxy.ts: 15ms, render: 58ms)
 POST /projects/j9702mf7yfcyb0p7758tv1ne3981g05s 200 in 99ms (compile: 33ms, proxy.ts: 17ms, render: 50ms)
 PUT /api/inngest 200 in 87ms (compile: 23ms, proxy.ts: 24ms, render: 41ms)
 PUT /api/inngest 200 in 58ms (compile: 15ms, proxy.ts: 11ms, render: 32ms)
 PUT /api/inngest 200 in 77ms (compile: 21ms, proxy.ts: 23ms, render: 33ms)
 PUT /api/inngest 200 in 59ms (compile: 18ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 68ms (compile: 20ms, proxy.ts: 15ms, render: 33ms)
 PUT /api/inngest 200 in 70ms (compile: 18ms, proxy.ts: 20ms, render: 33ms)
 PUT /api/inngest 200 in 74ms (compile: 19ms, proxy.ts: 24ms, render: 32ms)
 PUT /api/inngest 200 in 70ms (compile: 20ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 63ms (compile: 17ms, proxy.ts: 10ms, render: 36ms)
 PUT /api/inngest 200 in 65ms (compile: 17ms, proxy.ts: 17ms, render: 32ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 11ms, render: 34ms)
 PUT /api/inngest 200 in 59ms (compile: 17ms, proxy.ts: 9ms, render: 34ms)
 PUT /api/inngest 200 in 66ms (compile: 17ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 54ms (compile: 15ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 11ms, render: 38ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 65ms (compile: 17ms, proxy.ts: 13ms, render: 34ms)
 PUT /api/inngest 200 in 68ms (compile: 18ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 69ms (compile: 16ms, proxy.ts: 22ms, render: 31ms)
 PUT /api/inngest 200 in 76ms (compile: 16ms, proxy.ts: 24ms, render: 35ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 17ms, render: 34ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 20ms, render: 31ms)
 PUT /api/inngest 200 in 60ms (compile: 15ms, proxy.ts: 14ms, render: 31ms)
 PUT /api/inngest 200 in 57ms (compile: 17ms, proxy.ts: 9ms, render: 31ms)
 PUT /api/inngest 200 in 61ms (compile: 17ms, proxy.ts: 14ms, render: 31ms)
 PUT /api/inngest 200 in 51ms (compile: 14ms, proxy.ts: 7ms, render: 30ms)
 PUT /api/inngest 200 in 64ms (compile: 15ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 15ms, render: 30ms)
 PUT /api/inngest 200 in 60ms (compile: 17ms, proxy.ts: 9ms, render: 35ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 76ms (compile: 18ms, proxy.ts: 24ms, render: 34ms)
 PUT /api/inngest 200 in 56ms (compile: 18ms, proxy.ts: 7ms, render: 31ms)
 PUT /api/inngest 200 in 67ms (compile: 20ms, proxy.ts: 15ms, render: 32ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 60ms (compile: 18ms, proxy.ts: 14ms, render: 29ms)
 PUT /api/inngest 200 in 59ms (compile: 15ms, proxy.ts: 12ms, render: 32ms)
 PUT /api/inngest 200 in 54ms (compile: 18ms, proxy.ts: 8ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 17ms, render: 28ms)
 PUT /api/inngest 200 in 53ms (compile: 16ms, proxy.ts: 8ms, render: 28ms)
 PUT /api/inngest 200 in 65ms (compile: 15ms, proxy.ts: 22ms, render: 28ms)
 PUT /api/inngest 200 in 51ms (compile: 15ms, proxy.ts: 6ms, render: 29ms)
 PUT /api/inngest 200 in 54ms (compile: 15ms, proxy.ts: 10ms, render: 29ms)
 PUT /api/inngest 200 in 59ms (compile: 15ms, proxy.ts: 14ms, render: 30ms)
 PUT /api/inngest 200 in 70ms (compile: 18ms, proxy.ts: 19ms, render: 33ms)
 PUT /api/inngest 200 in 70ms (compile: 19ms, proxy.ts: 15ms, render: 36ms)
 PUT /api/inngest 200 in 70ms (compile: 18ms, proxy.ts: 22ms, render: 30ms)
 PUT /api/inngest 200 in 58ms (compile: 18ms, proxy.ts: 8ms, render: 33ms)
 PUT /api/inngest 200 in 58ms (compile: 16ms, proxy.ts: 10ms, render: 32ms)
 PUT /api/inngest 200 in 59ms (compile: 17ms, proxy.ts: 11ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 16ms, proxy.ts: 19ms, render: 32ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 21ms, render: 31ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 7ms, render: 34ms)
 PUT /api/inngest 200 in 58ms (compile: 16ms, proxy.ts: 7ms, render: 35ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 54ms (compile: 15ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 62ms (compile: 16ms, proxy.ts: 16ms, render: 30ms)
 PUT /api/inngest 200 in 68ms (compile: 16ms, proxy.ts: 21ms, render: 31ms)
 PUT /api/inngest 200 in 78ms (compile: 17ms, proxy.ts: 23ms, render: 39ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 13ms, render: 35ms)
 PUT /api/inngest 200 in 74ms (compile: 18ms, proxy.ts: 24ms, render: 32ms)
